Event_ID,Timestamp_Local,Rain_ISCO_Raw_mm,Rain_SWMM_Primary_mm,Rain_SWMM_Primary_in,Rain_Gauge_mm,Rain_Fill_Flag,Depth_m,Depth_ft,Velocity_m_s,Velocity_ft_s,Flow_CMS,Flow_LPS,Flow_CFS,Flow_GPM,Flow_MGD,Flow_MLD,Original_QC,Instrument_Status,Score_Group,Use_for_Score,Calibration_File_Eligible,Notes,Model_Flow_CMS,Model_Depth_m,Model_Velocity_m_s,Hours_From_Rainfall_Onset,Observed_Excess_CMS,Modeled_Excess_CMS
E04,2024-06-16 08:35:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.076,0.2493438320209971,0.688,2.2572178477690263,0.0179134437432211,17.913443743221148,0.63260729562599,283.9338719069395,0.4088647738178263,1.5477215394143071,OK,ACTIVE,CALIBRATION,1,1,,0.00038343963179690555,0.009416708667576313,0.30282215924263,13.333333333333334,0.005315421773475701,0.00038343963179690555
E04,2024-06-16 08:40:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.076,0.2493438320209971,0.695,2.2801837270341183,0.0180957026185155,18.09570261851555,0.6390437070640452,286.8227339757601,0.4130247351793449,1.5634687062397437,OK,ACTIVE,CALIBRATION,1,1,,0.00035097655609707927,0.008994296792149544,0.29380859241485596,13.416666666666666,0.0054976806487701015,0.00035097655609707927
E04,2024-06-16 08:45:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.698,2.2900262467191577,0.0178224853345331,17.82248533453312,0.6293951297376553,282.49215173679863,0.4067886967815985,1.5398627329036616,OK,ACTIVE,CALIBRATION,1,1,,0.00032191274097995566,0.008597800849378109,0.2852332255840302,13.5,0.005224463364787702,0.00032191274097995566
E04,2024-06-16 08:50:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.689,2.26049868766404,0.0175926825150334,17.592682515033406,0.6212797197553646,278.8497027889029,0.4015435703187985,1.5200077692988865,OK,ACTIVE,CALIBRATION,1,1,,0.0002965114856763697,0.008235170254111291,0.2772883798599243,13.583333333333334,0.004994660545288,0.0002965114856763697
E04,2024-06-16 08:55:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.697,2.2867454068241444,0.017796951687922,17.79695168792204,0.6284934175174008,282.08743518703244,0.4062059049523985,1.5376566258364643,OK,ACTIVE,CALIBRATION,1,1,,0.0002739871911491275,0.007899409952759744,0.269841396188736,13.666666666666666,0.0051989297181765995,0.0002739871911491275
E04,2024-06-16 09:00:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.076,0.2493438320209971,0.707,2.319553805774276,0.0184081464047345,18.408146404734524,0.6500775552435683,291.7750689508812,0.4201560975133768,1.590463849369063,OK,ACTIVE,CALIBRATION,1,1,,0.00025371046041875123,0.007584321990609169,0.2627692079544067,13.75,0.0058101244349891,0.00025371046041875123
E04,2024-06-16 09:05:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.687,2.253937007874013,0.0175416152218112,17.541615221811252,0.6194762953148557,278.0402696893706,0.4003779866603986,1.5155955551644924,OK,ACTIVE,CALIBRATION,1,1,,0.0002352349453800845,0.007285369035601616,0.2559802509784699,13.833333333333334,0.004943593252065802,0.0002352349453800845
E04,2024-06-16 09:10:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.076,0.2493438320209971,0.687,2.253937007874013,0.0178874067610362,17.887406761036235,0.6316878082776965,283.52117732567945,0.4082704936233237,1.545471944153531,OK,ACTIVE,CALIBRATION,1,1,,0.00021829460410197115,0.0070001626297831535,0.24942788929939272,13.916666666666666,0.005289384791290801,0.00021829460410197115
E04,2024-06-16 09:15:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.696,2.283464566929131,0.0177714180413109,17.771418041310962,0.6275917052971464,281.68271863726625,0.4056231131231985,1.5354505187692673,OK,ACTIVE,CALIBRATION,1,1,,0.00020276311413692524,0.006728276404738427,0.24310916161537172,14.0,0.0051733960715655,0.00020276311413692524
E04,2024-06-16 09:20:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.076,0.2493438320209971,0.713,2.3392388451443544,0.018564368297844,18.564368297844013,0.6555944793333298,294.25123643844165,0.4237217786803927,1.6039614209337227,OK,ACTIVE,CALIBRATION,1,1,,0.00018856820269427132,0.006470108342170716,0.23704007349014283,14.083333333333334,0.005966346328098601,0.00018856820269427132
