r,Node_ID,Sensor_Index,pivot_order,Energy_Weighted_Modal_Exposure,Baseline_Systemwise_Mean_NSE,Dropout_Systemwise_Mean_NSE,Delta_Systemwise_Mean_NSE,Delta_Systemwise_Mean_NSE_z,Energy_Weighted_Modal_Exposure_z
57,332,50,49,7.36544372514368e-05,0.9999334587731022,0.9998116764368193,0.00012178233628301074,-0.4501080988596116,-0.8865598763976897
57,J211,58,50,5.155777217332754e-05,0.9999334587731022,0.9997875053510039,0.0001459534220983219,-0.4494584065472448,-0.8877640143352248
57,16,1,51,0.03964190831489097,0.9999334587731022,0.9968153631616622,0.0031180956114401507,-0.36957047985537617,1.269676616650502
57,34,5,52,0.03390552342831598,0.9999334587731022,0.9723714753321105,0.027561983440991776,0.28745445185689683,0.9570774691406604
57,138,27,53,0.0004820243285445833,0.9999334587731022,0.9997956609171037,0.0001377978559984694,-0.4496776192312988,-0.8643061255753414
57,150,30,54,0.00016042884536406494,0.9999334587731022,0.9965147469658301,0.0034187118072721394,-0.36149024577332756,-0.8818311828846095
57,J86,67,55,5.3900768280758215e-05,0.9999334587731022,0.999710801146787,0.0002226576263153257,-0.44739668155124007,-0.8876363348645679
57,8,0,56,0.03960246785171564,0.9999334587731022,0.9962688307479359,0.003664628025166345,-0.35488028718590736,1.2675273439971178
57,356,53,57,0.0002573332600003984,0.9999334587731022,0.9996125159023472,0.0003209428707550114,-0.44475488183154743,-0.8765504637550142
58,OF-03,73,1,0.004330222713197182,0.9999379757367983,0.9993459243400381,0.0005920513967602423,-0.44362977888228194,-0.6405046503621746
58,J305,71,2,0.004935625414548959,0.9999379757367983,0.956468095651787,0.04346988008501135,0.7161948840296317,-0.6074501499654101
58,176,35,3,0.005846045670299952,0.9999379757367983,0.9987068260174219,0.0012311497193765186,-0.42634247634685535,-0.5577419365105493
58,179,36,4,0.004288364643496418,0.9999379757367983,0.9992100027906503,0.0007279729461480312,-0.439953166282625,-0.6427900672895228
58,117,18,5,0.0031723317754171055,0.9999379757367983,0.9992057971294586,0.0007321786073397016,-0.43983940516824077,-0.7037245639449886
58,185,40,6,0.0008983136431710336,0.9999379757367983,0.9998104981913489,0.0001274775454494871,-0.45619627832915877,-0.8278841243280879
58,OF-04,74,7,0.047364577285090956,0.9999379757367983,0.9505365987823388,0.04940137695445952,0.8766390242212699,1.7091364845303088
58,184,39,8,0.004769973831339289,0.9999379757367983,0.9990976920175584,0.0008402837192399732,-0.43691521383662274,-0.6164945931281226
58,J306,63,9,0.06058208158577104,0.9999379757367983,0.8581232271127351,0.14181474862406324,3.3763763225938592,2.430801584761172
58,J297,60,10,0.06073074514116956,0.9999379757367983,0.8587653430360326,0.14117263270076577,3.3590073954099853,2.438918495273683
58,163,33,11,0.0075889041332207275,0.9999379757367983,0.9983255023387022,0.0016124733980961941,-0.41602785406626014,-0.4625832667102895
58,123,21,12,0.012371594755241487,0.9999379757367983,0.9982568530170615,0.001681122719736876,-0.41417092290237284,-0.20145220682205994
58,J304,62,13,0.06070486031456723,0.9999379757367983,0.8464104776130662,0.15352749812373215,3.6932005684994715,2.4375052045677013
58,120,20,14,0.023404553349012817,0.9999379757367983,0.9949302888782251,0.005007686858573323,-0.3241889613848571,0.400938455461082
58,148,29,15,0.009065409505147337,0.9999379757367983,0.9978943819084043,0.0020435938283940333,-0.40436625358317313,-0.38196726137500087
58,94,11,16,0.0293812364439815,0.9999379757367983,0.9914277633806374,0.008510212356160821,-0.22944732966382472,0.7272605437055892
58,J303,61,17,0.06080925033639256,0.9999379757367983,0.8558093487583771,0.14412862697842138,3.4389656202440446,2.443204815768872
58,OF-02,72,18,0.03955931228804241,0.9999379757367983,0.9827835255634783,0.01715445017331996,0.004375149671845834,1.2829752956791227
58,25,3,19,0.03447639179226813,0.9999379757367983,0.9845427415118752,0.015395234224923055,-0.0432107964163661,1.0054519262439627
58,20,2,20,0.034391975333439136,0.9999379757367983,0.9865369849717057,0.013400990765092703,-0.097154123756442,1.0008428555119921
